Label,Text,clean_msg,msg_lower,token,spell,no_stopwords,msg_stemmed,msg_lemmatized,msg_n_gram_2,msg_n_gram_3,msg_n_gram_4,msg_string
positive,"abis vaksin moderna, smoga ga knpa-napa",abis vaksin moderna smoga ga knpanapa,abis vaksin moderna smoga ga knpanapa,"['abis', 'vaksin', 'moderna', 'smoga', 'ga', 'knpanapa']","['setelah', 'vaksin', 'moderna', 'semoga', 'tidak', 'kenapa']","['vaksin', 'moderna', 'semoga']","['vaksin', 'moderna', 'moga']","['vaksin', 'moderna', 'semoga']",[],[],[],vaksin moderna moga
positive,"Demiapaa vaksin ke make me asdfghjklhzhzhzzhzh Sumpaaa efeknya mleyot rek, pastikan kalo mo vaksin moderna jadwal bberapa hari kedepan kosong. Jd ga terganggu",Demiapaa vaksin ke make me asdfghjklhzhzhzzhzh Sumpaaa efeknya mleyot rek pastikan kalo mo vaksin moderna jadwal bberapa hari kedepan kosong Jd ga terganggu,demiapaa vaksin ke make me asdfghjklhzhzhzzhzh sumpaaa efeknya mleyot rek pastikan kalo mo vaksin moderna jadwal bberapa hari kedepan kosong jd ga terganggu,"['demiapaa', 'vaksin', 'ke', 'make', 'me', 'asdfghjklhzhzhzzhzh', 'sumpaaa', 'efeknya', 'mleyot', 'rek', 'pastikan', 'kalo', 'mo', 'vaksin', 'moderna', 'jadwal', 'bberapa', 'hari', 'kedepan', 'kosong', 'jd', 'ga', 'terganggu']","['demi apa', 'vaksin', 'ke', 'membuat', 'aku', 'astaga', 'sumpah', 'efeknya', 'lunglai', 'rek', 'pastikan', 'kalau', 'mau', 'vaksin', 'moderna', 'jadwal', 'beberapa', 'hari', 'kedepan', 'kosong', 'jadi', 'tidak', 'terganggu']","['demi apa', 'vaksin', 'membuat', 'astaga', 'sumpah', 'efeknya', 'lunglai', 'pastikan', 'kalau', 'mau', 'vaksin', 'moderna', 'jadwal', 'beberapa', 'hari', 'kedepan', 'kosong', 'jadi', 'terganggu']","['demi apa', 'vaksin', 'buat', 'astaga', 'sumpah', 'efek', 'lunglai', 'pasti', 'kalau', 'mau', 'vaksin', 'moderna', 'jadwal', 'beberapa', 'hari', 'depan', 'kosong', 'jadi', 'ganggu']","['demi apa', 'vaksin', 'membuat', 'astaga', 'sumpah', 'efeknya', 'lunglai', 'pastikan', 'kalau', 'mau', 'vaksin', 'moderna', 'jadwal', 'beberapa', 'hari', 'kedepan', 'kosong', 'jadi', 'terganggu']",['demi apa'],[],[],demi apa vaksin buat astaga sumpah efek lunglai pasti kalau mau vaksin moderna jadwal beberapa hari depan kosong jadi ganggu
negative,gila vaksin moderna efeknya sakit benerr,gila vaksin moderna efeknya sakit benerr,gila vaksin moderna efeknya sakit benerr,"['gila', 'vaksin', 'moderna', 'efeknya', 'sakit', 'benerr']","['gila', 'vaksin', 'moderna', 'efeknya', 'sakit', 'benar']","['gila', 'vaksin', 'moderna', 'efeknya', 'sakit', 'benar']","['gila', 'vaksin', 'moderna', 'efek', 'sakit', 'benar']","['gila', 'vaksin', 'moderna', 'efeknya', 'sakit', 'benar']",[],[],[],gila vaksin moderna efek sakit benar
negative,tkut bgt mau vaksin moderna,tkut bgt mau vaksin moderna,tkut bgt mau vaksin moderna,"['tkut', 'bgt', 'mau', 'vaksin', 'moderna']","['takut', 'sekali', 'mau', 'vaksin', 'moderna']","['takut', 'sekali', 'mau', 'vaksin', 'moderna']","['takut', 'sekali', 'mau', 'vaksin', 'moderna']","['takut', 'sekali', 'mau', 'vaksin', 'moderna']",[],[],[],takut sekali mau vaksin moderna
negative,Moderna vaksin dosis ke lebih aduhay dari sebelumnya,Moderna vaksin dosis ke lebih aduhay dari sebelumnya,moderna vaksin dosis ke lebih aduhay dari sebelumnya,"['moderna', 'vaksin', 'dosis', 'ke', 'lebih', 'aduhay', 'dari', 'sebelumnya']","['moderna', 'vaksin', 'dosis', 'ke', 'lebih', 'hebat', 'dari', 'sebelumnya']","['moderna', 'vaksin', 'dosis', 'lebih', 'hebat', 'sebelumnya']","['moderna', 'vaksin', 'dosis', 'lebih', 'hebat', 'belum']","['moderna', 'vaksin', 'dosis', 'lebih', 'hebat', 'sebelumnya']",[],[],[],moderna vaksin dosis lebih hebat belum
positive,jam stlh vaksin moderna tuh ngantuk bgtbgtbgt,jam stlh vaksin moderna tuh ngantuk bgtbgtbgt,jam stlh vaksin moderna tuh ngantuk bgtbgtbgt,"['jam', 'stlh', 'vaksin', 'moderna', 'tuh', 'ngantuk', 'bgtbgtbgt']","['jam', 'setelah', 'vaksin', 'moderna', 'itu', 'mengantuk', 'sekali']","['jam', 'vaksin', 'moderna', 'mengantuk', 'sekali']","['jam', 'vaksin', 'moderna', 'antuk', 'sekali']","['jam', 'vaksin', 'moderna', 'mengantuk', 'sekali']",[],[],[],jam vaksin moderna antuk sekali
negative,Mau vaksin booster moderna kok jadi takut lohh wkwkw. Takut KIPI :((,Mau vaksin booster moderna kok jadi takut lohh wkwkw Takut KIPI ,mau vaksin booster moderna kok jadi takut lohh wkwkw takut kipi ,"['mau', 'vaksin', 'booster', 'moderna', 'kok', 'jadi', 'takut', 'lohh', 'wkwkw', 'takut', 'kipi']","['mau', 'vaksin', 'booster', 'moderna', 'kok', 'jadi', 'takut', 'lohh', 'wkwkw', 'takut', 'efek']","['mau', 'vaksin', 'booster', 'moderna', 'jadi', 'takut', 'wkwkw', 'takut', 'efek']","['mau', 'vaksin', 'booster', 'moderna', 'jadi', 'takut', 'wkwkw', 'takut', 'efek']","['mau', 'vaksin', 'booster', 'moderna', 'jadi', 'takut', 'wkwkw', 'takut', 'efek']",[],[],[],mau vaksin booster moderna jadi takut wkwkw takut efek
negative,"Mau cerita pengalaman vaksin booster moderna. Sumpah... Efeknya ga main"".",Mau cerita pengalaman vaksin booster moderna Sumpah Efeknya ga main,mau cerita pengalaman vaksin booster moderna sumpah efeknya ga main,"['mau', 'cerita', 'pengalaman', 'vaksin', 'booster', 'moderna', 'sumpah', 'efeknya', 'ga', 'main']","['mau', 'cerita', 'pengalaman', 'vaksin', 'booster', 'moderna', 'sumpah', 'efeknya', 'tidak', 'main']","['mau', 'cerita', 'pengalaman', 'vaksin', 'booster', 'moderna', 'sumpah', 'efeknya', 'main']","['mau', 'cerita', 'alam', 'vaksin', 'booster', 'moderna', 'sumpah', 'efek', 'main']","['mau', 'cerita', 'pengalaman', 'vaksin', 'booster', 'moderna', 'sumpah', 'efeknya', 'main']",[],[],[],mau cerita alam vaksin booster moderna sumpah efek main
negative, moderna aja sudah masyaa Allah tabarakallaah, moderna aja sudah masyaa Allah tabarakallaah, moderna aja sudah masyaa allah tabarakallaah,"['moderna', 'aja', 'sudah', 'masyaa', 'allah', 'tabarakallaah']","['moderna', 'saja', 'sudah', 'masyaallah', 'allah', 'tabarakallaah']","['moderna', 'masyaallah', 'allah', 'tabarakallaah']","['moderna', 'masyaallah', 'allah', 'tabarakallaah']","['moderna', 'masyaallah', 'allah', 'tabarakallaah']",[],[],[],moderna masyaallah allah tabarakallaah
negative,Vaksin moderna memang efeknya bikin khawatir huhu,Vaksin moderna memang efeknya bikin khawatir huhu,vaksin moderna memang efeknya bikin khawatir huhu,"['vaksin', 'moderna', 'memang', 'efeknya', 'bikin', 'khawatir', 'huhu']","['vaksin', 'moderna', 'memang', 'efeknya', 'buat', 'khawatir', 'huhu']","['vaksin', 'moderna', 'memang', 'efeknya', 'buat', 'khawatir']","['vaksin', 'moderna', 'memang', 'efek', 'buat', 'khawatir']","['vaksin', 'moderna', 'memang', 'efeknya', 'buat', 'khawatir']",[],[],[],vaksin moderna memang efek buat khawatir
negative,"Temenku vaksin moderna, seminggu badannya meriang katanyaa kak. kasian waktu liat dia abis vaksin tuhh",Temenku vaksin moderna seminggu badannya meriang katanyaa kak kasian waktu liat dia abis vaksin tuhh,temenku vaksin moderna seminggu badannya meriang katanyaa kak kasian waktu liat dia abis vaksin tuhh,"['temenku', 'vaksin', 'moderna', 'seminggu', 'badannya', 'meriang', 'katanyaa', 'kak', 'kasian', 'waktu', 'liat', 'dia', 'abis', 'vaksin', 'tuhh']","['temanku', 'vaksin', 'moderna', 'seminggu', 'badannya', 'meriang', 'katanya', 'kak', 'kasihan', 'waktu', 'lihat', 'dia', 'setelah', 'vaksin', 'tuhh']","['temanku', 'vaksin', 'moderna', 'seminggu', 'badannya', 'meriang', 'katanya', 'kasihan', 'waktu', 'lihat', 'vaksin']","['teman', 'vaksin', 'moderna', 'minggu', 'badan', 'meriang', 'kata', 'kasihan', 'waktu', 'lihat', 'vaksin']","['temanku', 'vaksin', 'moderna', 'seminggu', 'badannya', 'meriang', 'katanya', 'kasihan', 'waktu', 'lihat', 'vaksin']",[],[],[],teman vaksin moderna minggu badan meriang kata kasihan waktu lihat vaksin
negative,"Hahaha.. Memang amsyong ya rasanya vaksin Sinovac, sinovac, booster moderna.. Meriang semalaman badan pegel sampe besoknya..",Hahaha Memang amsyong ya rasanya vaksin Sinovac sinovac booster moderna Meriang semalaman badan pegel sampe besoknya,hahaha memang amsyong ya rasanya vaksin sinovac sinovac booster moderna meriang semalaman badan pegel sampe besoknya,"['hahaha', 'memang', 'amsyong', 'ya', 'rasanya', 'vaksin', 'sinovac', 'sinovac', 'booster', 'moderna', 'meriang', 'semalaman', 'badan', 'pegel', 'sampe', 'besoknya']","['hahaha', 'memang', 'hancur', 'ya', 'rasanya', 'vaksin', 'sinovac', 'sinovac', 'booster', 'moderna', 'meriang', 'semalaman', 'badan', 'pegal', 'sampai', 'besoknya']","['memang', 'hancur', 'rasanya', 'vaksin', 'sinovac', 'sinovac', 'booster', 'moderna', 'meriang', 'semalaman', 'badan', 'pegal', 'besoknya']","['memang', 'hancur', 'rasa', 'vaksin', 'sinovac', 'sinovac', 'booster', 'moderna', 'meriang', 'malam', 'badan', 'pegal', 'besok']","['memang', 'hancur', 'rasanya', 'vaksin', 'sinovac', 'sinovac', 'booster', 'moderna', 'meriang', 'semalaman', 'badan', 'pegal', 'besoknya']",[],[],[],memang hancur rasa vaksin sinovac sinovac booster moderna meriang malam badan pegal besok
negative,Hari ini booster vaksin pake moderna. Dulu tahap & pake sinovac ga berasa. Yg ini sekarang tangan kaya gabisa diangkat,Hari ini booster vaksin pake moderna Dulu tahap  pake sinovac ga berasa Yg ini sekarang tangan kaya gabisa diangkat,hari ini booster vaksin pake moderna dulu tahap  pake sinovac ga berasa yg ini sekarang tangan kaya gabisa diangkat,"['hari', 'ini', 'booster', 'vaksin', 'pake', 'moderna', 'dulu', 'tahap', 'pake', 'sinovac', 'ga', 'berasa', 'yg', 'ini', 'sekarang', 'tangan', 'kaya', 'gabisa', 'diangkat']","['hari', 'ini', 'booster', 'vaksin', 'pakai', 'moderna', 'dahulu', 'tahap', 'pakai', 'sinovac', 'tidak', 'terasa', 'yang', 'ini', 'sekarang', 'tangan', 'seperti', 'gabisa', 'diangkat']","['hari', 'booster', 'vaksin', 'pakai', 'moderna', 'tahap', 'pakai', 'sinovac', 'terasa', 'sekarang', 'tangan', 'gabisa', 'diangkat']","['hari', 'booster', 'vaksin', 'pakai', 'moderna', 'tahap', 'pakai', 'sinovac', 'asa', 'sekarang', 'tangan', 'gabisa', 'angkat']","['hari', 'booster', 'vaksin', 'pakai', 'moderna', 'tahap', 'pakai', 'sinovac', 'terasa', 'sekarang', 'tangan', 'gabisa', 'diangkat']",[],[],[],hari booster vaksin pakai moderna tahap pakai sinovac asa sekarang tangan gabisa angkat
negative,"Saya dah suntik vaksin astra  , kemudian dapat suntikan booster Jansen dan december kemarin harus di suntik booster lagi dengan Moderna total dah  tapi effect yg terasa agak berat sampai mengganggu aktifitas cuma yg terakhir yaitu Vaksin Moderna .",Saya dah suntik vaksin astra   kemudian dapat suntikan booster Jansen dan december kemarin harus di suntik booster lagi dengan Moderna total dah  tapi effect yg terasa agak berat sampai mengganggu aktifitas cuma yg terakhir yaitu Vaksin Moderna ,saya dah suntik vaksin astra   kemudian dapat suntikan booster jansen dan december kemarin harus di suntik booster lagi dengan moderna total dah  tapi effect yg terasa agak berat sampai mengganggu aktifitas cuma yg terakhir yaitu vaksin moderna ,"['saya', 'dah', 'suntik', 'vaksin', 'astra', 'kemudian', 'dapat', 'suntikan', 'booster', 'jansen', 'dan', 'december', 'kemarin', 'harus', 'di', 'suntik', 'booster', 'lagi', 'dengan', 'moderna', 'total', 'dah', 'tapi', 'effect', 'yg', 'terasa', 'agak', 'berat', 'sampai', 'mengganggu', 'aktifitas', 'cuma', 'yg', 'terakhir', 'yaitu', 'vaksin', 'moderna']","['saya', 'sudah', 'suntik', 'vaksin', 'astrazeneca', 'kemudian', 'dapat', 'suntikkan', 'booster', 'jansen', 'dan', 'december', 'kemarin', 'harus', 'di', 'suntik', 'booster', 'lagi', 'dengan', 'moderna', 'total', 'sudah', 'tapi', 'efek', 'yang', 'terasa', 'sedikit', 'berat', 'sampai', 'mengganggu', 'aktifitas', 'hanya', 'yang', 'terakhir', 'yaitu', 'vaksin', 'moderna']","['suntik', 'vaksin', 'astrazeneca', 'kemudian', 'suntikkan', 'booster', 'jansen', 'december', 'kemarin', 'suntik', 'booster', 'moderna', 'total', 'efek', 'terasa', 'sedikit', 'berat', 'mengganggu', 'aktifitas', 'terakhir', 'vaksin', 'moderna']","['suntik', 'vaksin', 'astrazeneca', 'kemudian', 'suntik', 'booster', 'jansen', 'december', 'kemarin', 'suntik', 'booster', 'moderna', 'total', 'efek', 'asa', 'sedikit', 'berat', 'ganggu', 'aktifitas', 'akhir', 'vaksin', 'moderna']","['suntik', 'vaksin', 'astrazeneca', 'kemudian', 'suntikkan', 'booster', 'jansen', 'december', 'kemarin', 'suntik', 'booster', 'moderna', 'total', 'efek', 'terasa', 'sedikit', 'berat', 'mengganggu', 'aktifitas', 'terakhir', 'vaksin', 'moderna']",[],[],[],suntik vaksin astrazeneca kemudian suntik booster jansen december kemarin suntik booster moderna total efek asa sedikit berat ganggu aktifitas akhir vaksin moderna
negative,"gapapa aku udh vaksin moderna dua kali, teparnya juga dua kali. inshaAllah teh kuaaat orang mama dulunya kasih aku susu Dancow tiap mau ke sekolah",gapapa aku udh vaksin moderna dua kali teparnya juga dua kali inshaAllah teh kuaaat orang mama dulunya kasih aku susu Dancow tiap mau ke sekolah,gapapa aku udh vaksin moderna dua kali teparnya juga dua kali inshaallah teh kuaaat orang mama dulunya kasih aku susu dancow tiap mau ke sekolah,"['gapapa', 'aku', 'udh', 'vaksin', 'moderna', 'dua', 'kali', 'teparnya', 'juga', 'dua', 'kali', 'inshaallah', 'teh', 'kuaaat', 'orang', 'mama', 'dulunya', 'kasih', 'aku', 'susu', 'dancow', 'tiap', 'mau', 'ke', 'sekolah']","['gapapa', 'aku', 'sudah', 'vaksin', 'moderna', 'dua', 'kali', 'lelahnya', 'juga', 'dua', 'kali', 'inshaallah', 'teh', 'kuat', 'orang', 'ibu', 'dahulunya', 'kasih', 'aku', 'susu', 'dancow', 'tiap', 'mau', 'ke', 'sekolah']","['vaksin', 'moderna', 'kali', 'lelahnya', 'kali', 'inshaallah', 'kuat', 'orang', 'ibu', 'dahulunya', 'kasih', 'susu', 'dancow', 'tiap', 'mau', 'sekolah']","['vaksin', 'moderna', 'kali', 'lelah', 'kali', 'inshaallah', 'kuat', 'orang', 'ibu', 'dahulu', 'kasih', 'susu', 'dancow', 'tiap', 'mau', 'sekolah']","['vaksin', 'moderna', 'kali', 'lelahnya', 'kali', 'inshaallah', 'kuat', 'orang', 'ibu', 'dahulunya', 'kasih', 'susu', 'dancow', 'tiap', 'mau', 'sekolah']",[],[],[],vaksin moderna kali lelah kali inshaallah kuat orang ibu dahulu kasih susu dancow tiap mau sekolah
negative,Mantep banget moderna bikin meriang muntah muntah sama pegel tangan gabisa gerak. di gue sekarang lagi fokus vaksin sekolah dasar dulu sih belom ada info yang boster ini,Mantep banget moderna bikin meriang muntah muntah sama pegel tangan gabisa gerak di gue sekarang lagi fokus vaksin sekolah dasar dulu sih belom ada info yang boster ini,mantep banget moderna bikin meriang muntah muntah sama pegel tangan gabisa gerak di gue sekarang lagi fokus vaksin sekolah dasar dulu sih belom ada info yang boster ini,"['mantep', 'banget', 'moderna', 'bikin', 'meriang', 'muntah', 'muntah', 'sama', 'pegel', 'tangan', 'gabisa', 'gerak', 'di', 'gue', 'sekarang', 'lagi', 'fokus', 'vaksin', 'sekolah', 'dasar', 'dulu', 'sih', 'belom', 'ada', 'info', 'yang', 'boster', 'ini']","['mantap', 'sekali', 'moderna', 'buat', 'meriang', 'muntah', 'muntah', 'sama', 'pegal', 'tangan', 'gabisa', 'gerak', 'di', 'aku', 'sekarang', 'lagi', 'fokus', 'vaksin', 'sekolah', 'dasar', 'dahulu', 'sih', 'belum', 'ada', 'informasi', 'yang', 'booster', 'ini']","['mantap', 'sekali', 'moderna', 'buat', 'meriang', 'muntah', 'muntah', 'sama', 'pegal', 'tangan', 'gabisa', 'gerak', 'sekarang', 'fokus', 'vaksin', 'sekolah', 'dasar', 'informasi', 'booster']","['mantap', 'sekali', 'moderna', 'buat', 'meriang', 'muntah', 'muntah', 'sama', 'pegal', 'tangan', 'gabisa', 'gerak', 'sekarang', 'fokus', 'vaksin', 'sekolah', 'dasar', 'informasi', 'booster']","['mantap', 'sekali', 'moderna', 'buat', 'meriang', 'muntah', 'muntah', 'sama', 'pegal', 'tangan', 'gabisa', 'gerak', 'sekarang', 'fokus', 'vaksin', 'sekolah', 'dasar', 'informasi', 'booster']",[],[],[],mantap sekali moderna buat meriang muntah muntah sama pegal tangan gabisa gerak sekarang fokus vaksin sekolah dasar informasi booster
positive,Suntik vaksin moderna satu botol pasti joooss. Langsung sembuh sakitnya,Suntik vaksin moderna satu botol pasti joooss Langsung sembuh sakitnya,suntik vaksin moderna satu botol pasti joooss langsung sembuh sakitnya,"['suntik', 'vaksin', 'moderna', 'satu', 'botol', 'pasti', 'joooss', 'langsung', 'sembuh', 'sakitnya']","['suntik', 'vaksin', 'moderna', 'satu', 'botol', 'pasti', 'joooss', 'langsung', 'sembuh', 'sakitnya']","['suntik', 'vaksin', 'moderna', 'satu', 'botol', 'langsung', 'sembuh', 'sakitnya']","['suntik', 'vaksin', 'moderna', 'satu', 'botol', 'langsung', 'sembuh', 'sakit']","['suntik', 'vaksin', 'moderna', 'satu', 'botol', 'langsung', 'sembuh', 'sakitnya']",[],[],[],suntik vaksin moderna satu botol langsung sembuh sakit
positive,"vaksin pertama moderna ga ada efek ap apa, pas vaksin kedua kemarin baru berasa efeknya hari ini",vaksin pertama moderna ga ada efek ap apa pas vaksin kedua kemarin baru berasa efeknya hari ini,vaksin pertama moderna ga ada efek ap apa pas vaksin kedua kemarin baru berasa efeknya hari ini,"['vaksin', 'pertama', 'moderna', 'ga', 'ada', 'efek', 'ap', 'apa', 'pas', 'vaksin', 'kedua', 'kemarin', 'baru', 'berasa', 'efeknya', 'hari', 'ini']","['vaksin', 'pertama', 'moderna', 'tidak', 'ada', 'efek', 'apa', 'apa', 'saat', 'vaksin', 'kedua', 'kemarin', 'baru', 'terasa', 'efeknya', 'hari', 'ini']","['vaksin', 'pertama', 'moderna', 'efek', 'apa', 'apa', 'vaksin', 'kedua', 'kemarin', 'baru', 'terasa', 'efeknya', 'hari']","['vaksin', 'pertama', 'moderna', 'efek', 'apa', 'apa', 'vaksin', 'dua', 'kemarin', 'baru', 'asa', 'efek', 'hari']","['vaksin', 'pertama', 'moderna', 'efek', 'apa', 'apa', 'vaksin', 'kedua', 'kemarin', 'baru', 'terasa', 'efeknya', 'hari']",[],[],[],vaksin pertama moderna efek apa apa vaksin dua kemarin baru asa efek hari
negative,mantaps kali efek moderna,mantaps kali efek moderna,mantaps kali efek moderna,"['mantaps', 'kali', 'efek', 'moderna']","['mantap', 'kali', 'efek', 'moderna']","['mantap', 'kali', 'efek', 'moderna']","['mantap', 'kali', 'efek', 'moderna']","['mantap', 'kali', 'efek', 'moderna']",[],[],[],mantap kali efek moderna
positive,"oo, gue moderna, semoga cepet hilang deh ya efek sampingnya. lekas membaik sedaap wkwkwk",oo gue moderna semoga cepet hilang deh ya efek sampingnya lekas membaik sedaap wkwkwk,oo gue moderna semoga cepet hilang deh ya efek sampingnya lekas membaik sedaap wkwkwk,"['oo', 'gue', 'moderna', 'semoga', 'cepet', 'hilang', 'deh', 'ya', 'efek', 'sampingnya', 'lekas', 'membaik', 'sedaap', 'wkwkwk']","['oo', 'aku', 'moderna', 'semoga', 'cepat', 'hilang', 'deh', 'ya', 'efek', 'sampingnya', 'lekas', 'membaik', 'sedaap', 'wkwkwk']","['oo', 'moderna', 'semoga', 'cepat', 'hilang', 'efek', 'sampingnya', 'lekas', 'membaik', 'sedaap']","['oo', 'moderna', 'moga', 'cepat', 'hilang', 'efek', 'samping', 'lekas', 'baik', 'sedaap']","['oo', 'moderna', 'semoga', 'cepat', 'hilang', 'efek', 'sampingnya', 'lekas', 'membaik', 'sedaap']",[],[],[],oo moderna moga cepat hilang efek samping lekas baik sedaap
negative,"moderna efek sampinge ngantem tenan. langsung panas, lemes, nggliyeng, turu ra nyaman.",moderna efek sampinge ngantem tenan langsung panas lemes nggliyeng turu ra nyaman,moderna efek sampinge ngantem tenan langsung panas lemes nggliyeng turu ra nyaman,"['moderna', 'efek', 'sampinge', 'ngantem', 'tenan', 'langsung', 'panas', 'lemes', 'nggliyeng', 'turu', 'ra', 'nyaman']","['moderna', 'efek', 'sampingnya', 'sakit', 'sekali', 'langsung', 'panas', 'lemas', 'pusing', 'tidur', 'tidak', 'nyaman']","['moderna', 'efek', 'sampingnya', 'sakit', 'sekali', 'langsung', 'panas', 'lemas', 'pusing', 'tidur', 'nyaman']","['moderna', 'efek', 'samping', 'sakit', 'sekali', 'langsung', 'panas', 'lemas', 'pusing', 'tidur', 'nyaman']","['moderna', 'efek', 'sampingnya', 'sakit', 'sekali', 'langsung', 'panas', 'lemas', 'pusing', 'tidur', 'nyaman']",[],[],[],moderna efek samping sakit sekali langsung panas lemas pusing tidur nyaman
negative,efek moderna tambah greges pakkkk,efek moderna tambah greges pakkkk,efek moderna tambah greges pakkkk,"['efek', 'moderna', 'tambah', 'greges', 'pakkkk']","['efek', 'moderna', 'tambah', 'greges', 'pakkkk']","['efek', 'moderna', 'tambah', 'greges', 'pakkkk']","['efek', 'moderna', 'tambah', 'greges', 'pakkkk']","['efek', 'moderna', 'tambah', 'greges', 'pakkkk']",[],[],[],efek moderna tambah greges pakkkk
negative,aku parah soalnya efek dri pasca booster moderna,aku parah soalnya efek dri pasca booster moderna,aku parah soalnya efek dri pasca booster moderna,"['aku', 'parah', 'soalnya', 'efek', 'dri', 'pasca', 'booster', 'moderna']","['aku', 'parah', 'soalnya', 'efek', 'dari', 'sesudah', 'booster', 'moderna']","['parah', 'soalnya', 'efek', 'booster', 'moderna']","['parah', 'soal', 'efek', 'booster', 'moderna']","['parah', 'soalnya', 'efek', 'booster', 'moderna']",[],[],[],parah soal efek booster moderna
negative,"aszec kaaak, efek aszec aja udah bikin aku pingsan sekian detik gmn moderna",aszec kaaak efek aszec aja udah bikin aku pingsan sekian detik gmn moderna,aszec kaaak efek aszec aja udah bikin aku pingsan sekian detik gmn moderna,"['aszec', 'kaaak', 'efek', 'aszec', 'aja', 'udah', 'bikin', 'aku', 'pingsan', 'sekian', 'detik', 'gmn', 'moderna']","['astrazeneca', 'kaaak', 'efek', 'astrazeneca', 'saja', 'sudah', 'buat', 'aku', 'pingsan', 'sekian', 'detik', 'gimana', 'moderna']","['astrazeneca', 'kaaak', 'efek', 'astrazeneca', 'buat', 'pingsan', 'sekian', 'detik', 'gimana', 'moderna']","['astrazeneca', 'kaaak', 'efek', 'astrazeneca', 'buat', 'pingsan', 'sekian', 'detik', 'gimana', 'moderna']","['astrazeneca', 'kaaak', 'efek', 'astrazeneca', 'buat', 'pingsan', 'sekian', 'detik', 'gimana', 'moderna']",[],[],[],astrazeneca kaaak efek astrazeneca buat pingsan sekian detik gimana moderna
negative,"efek samping sy rasa setelah dibooster moderna mencakup kedinginan, sakit kepala, nyeri, kelelahan, dan kemerahan dan pembengkakan di tempat suntikan",efek samping sy rasa setelah dibooster moderna mencakup kedinginan sakit kepala nyeri kelelahan dan kemerahan dan pembengkakan di tempat suntikan,efek samping sy rasa setelah dibooster moderna mencakup kedinginan sakit kepala nyeri kelelahan dan kemerahan dan pembengkakan di tempat suntikan,"['efek', 'samping', 'sy', 'rasa', 'setelah', 'dibooster', 'moderna', 'mencakup', 'kedinginan', 'sakit', 'kepala', 'nyeri', 'kelelahan', 'dan', 'kemerahan', 'dan', 'pembengkakan', 'di', 'tempat', 'suntikan']","['efek', 'samping', 'saya', 'rasa', 'setelah', 'dibooster', 'moderna', 'mencakup', 'kedinginan', 'sakit', 'kepala', 'nyeri', 'kelelahan', 'dan', 'kemerahan', 'dan', 'pembengkakan', 'di', 'tempat', 'suntikkan']","['efek', 'samping', 'rasa', 'dibooster', 'moderna', 'mencakup', 'kedinginan', 'sakit', 'kepala', 'nyeri', 'kelelahan', 'kemerahan', 'pembengkakan', 'tempat', 'suntikkan']","['efek', 'samping', 'rasa', 'dibooster', 'moderna', 'cakup', 'dingin', 'sakit', 'kepala', 'nyeri', 'lelah', 'merah', 'bengkak', 'tempat', 'suntik']","['efek', 'samping', 'rasa', 'dibooster', 'moderna', 'mencakup', 'kedinginan', 'sakit', 'kepala', 'nyeri', 'kelelahan', 'kemerahan', 'pembengkakan', 'tempat', 'suntikkan']",[],[],[],efek samping rasa dibooster moderna cakup dingin sakit kepala nyeri lelah merah bengkak tempat suntik
